firstname,lastname,phone,email,city,state,zip
Xena,Babbage,6968161,Babbage.Xena@coldmail.com,Janesville,WI,53708
Pedro,Shroeder,7105359,Shroeder.Pedro@coldmail.com,Madison,WI,53708
Makis,Robertson,5192602,Robertson.Makis@coldmail.com,Indianapolis,IN,53708
Leonidas,Robins,2636186,Robins.Leonidas@coldmail.com,Chicago,IL,53708
Jason,Robertson,783062,Robertson.Jason@coldmail.com,Chicago,IL,53708
Marvin,Zaniolo,2461709,Zaniolo.Marvin@coldmail.com,Springfield,IL,53708
Giancarlo,Chirac,3032887,Chirac.Giancarlo@coldmail.com,Madison,WI,53708
Johnathan,Babbage,1236604,Babbage.Johnathan@coldmail.com,Chicago,IL,53708
Alkis,Pirelli,8499878,Pirelli.Alkis@coldmail.com,Janesville,WI,53708
Joan,Tsangaris,1890392,Tsangaris.Joan@coldmail.com,Indianapolis,IN,53708
Stratis,Darwin,7629186,Darwin.Stratis@coldmail.com,Janesville,WI,53708
Jennifer,Branco,8144955,Branco.Jennifer@coldmail.com,Springfield,IL,53708
Tova,Newman,8002983,Newman.Tova@coldmail.com,Indianapolis,IN,53708
Giancarlo,Wilkinson,3988497,Wilkinson.Giancarlo@coldmail.com,Janesville,WI,53708
Jim,Miller,2233695,Miller.Jim@coldmail.com,Chicago,IL,53708
Amy,Olajuwon,1723319,Olajuwon.Amy@coldmail.com,Janesville,WI,53708
